City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
285,Kerchevskiy,RU,59.946,56.2884,38.77,83,76,9.66,broken clouds
286,Shakawe,BW,-18.3667,21.85,76.91,43,52,5.64,broken clouds
287,Alpena,US,45.0617,-83.4327,51.12,71,91,2.15,overcast clouds
288,Dasoguz,TM,41.8363,59.9666,42.75,52,0,9.22,clear sky
289,Atar,MR,20.5169,-13.0499,81.01,16,0,7.31,clear sky
290,Dangriga,BZ,16.9692,-88.2321,85.96,76,98,6.82,overcast clouds
291,Uray,RU,60.1247,64.7758,39.16,76,33,14.85,scattered clouds
292,Svetlyy,RU,54.675,20.1347,42.85,67,98,12.35,overcast clouds
293,Aras,ES,42.5617,-2.356,46.71,93,0,2.3,clear sky
294,Porto Velho,BR,-8.7619,-63.9039,87.85,66,20,3.44,few clouds
295,Capinopolis,BR,-18.6819,-49.5697,85.73,39,47,5.17,scattered clouds
296,Saint-Leu,RE,-21.15,55.2833,74.23,95,18,2.48,few clouds
297,Maksatikha,RU,57.797,35.8825,39.06,86,99,5.21,overcast clouds
298,Lukovetskiy,RU,64.2956,41.9211,28.38,97,100,3.18,light snow
299,Mossingen,DE,48.4057,9.0542,41.43,88,13,3.85,few clouds
300,Ambanja,MG,-13.6833,48.45,75.22,89,40,2.75,scattered clouds
301,Bubaque,GW,11.2833,-15.8333,83.71,71,97,11.52,overcast clouds
302,Turtas,RU,58.9417,69.1325,40.46,79,85,12.62,overcast clouds
303,Olafsvik,IS,64.8945,-23.7142,45.7,90,100,10.89,overcast clouds
304,Bonavista,CA,48.6499,-53.1147,52.56,99,100,8.14,overcast clouds
305,Manadhoo,MV,5.7667,73.3833,81.27,77,98,15.41,overcast clouds
306,La Rioja,ES,42.25,-2.5,44.04,53,0,6.33,clear sky
307,Aljezur,PT,37.3191,-8.8033,61.12,64,10,4.16,clear sky
308,Hoima,UG,1.4356,31.3436,64.96,93,26,2.57,scattered clouds
309,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,80,10,10.67,clear sky
310,Bilma,NE,18.6853,12.9164,82.74,14,2,6.89,clear sky
311,Oranjemund,NA,-28.55,16.4333,57.15,81,0,15.26,clear sky
312,Aragarcas,BR,-15.8975,-52.2508,87.33,47,100,7.65,overcast clouds
313,Ciudad Bolivar,VE,8.1222,-63.5497,80.51,76,93,10.4,overcast clouds
314,Chicama,PE,-7.8447,-79.1469,59.54,71,28,9.19,scattered clouds
315,Palmas Bellas,PA,9.2319,-80.0867,83.25,84,100,4.09,overcast clouds
316,Parabel,RU,58.6978,81.4825,44.49,90,100,14.92,light rain
317,Grand-Santi,GF,4.25,-54.3833,74.91,96,100,3.04,light rain
318,Batticaloa,LK,7.7102,81.6924,78.06,85,58,7.58,broken clouds
319,Cayenne,GF,4.9333,-52.3333,78.1,88,0,0.0,moderate rain
320,Oussouye,SN,12.485,-16.5469,79.34,73,68,3.91,moderate rain
321,Yokadouma,CM,3.5167,15.05,69.64,99,100,2.01,overcast clouds
322,Auray,FR,47.6703,-2.9918,54.75,74,43,8.08,scattered clouds
323,Harer,ET,9.3094,42.1258,58.08,56,8,5.75,clear sky
324,Alta Floresta,BR,-9.8756,-56.0861,80.01,67,99,2.77,overcast clouds
325,Zajecar,RS,43.9036,22.2641,51.57,80,100,7.99,overcast clouds
326,Korla,CN,41.7597,86.1469,50.99,36,100,4.34,overcast clouds
327,Praia,CV,14.9215,-23.5087,78.57,72,5,12.01,clear sky
328,Cauquenes,CL,-35.9671,-72.3225,60.51,53,0,13.42,clear sky
329,Kapoeta,SS,4.7717,33.5903,82.4,39,33,5.41,scattered clouds
330,Guiratinga,BR,-16.3494,-53.7583,87.17,44,92,12.08,overcast clouds
331,Salamiyah,SY,35.0113,37.0532,64.42,67,0,5.66,clear sky
332,Roald,NO,62.5833,6.1333,45.09,81,20,17.27,light rain
333,Pervomayskoye,RU,43.919,46.7102,51.93,94,0,4.27,clear sky
334,Gweru,ZW,-19.45,29.8167,72.12,45,37,4.25,scattered clouds
335,Katsina,NG,12.9894,7.6006,81.73,46,54,7.83,broken clouds
336,Quelimane,MZ,-17.8786,36.8883,75.51,80,5,8.52,clear sky
337,Marienburg,PL,54.0359,19.0266,40.05,83,12,6.96,few clouds
338,Adre,TD,13.4667,22.2,79.86,21,27,16.06,scattered clouds
339,Velyka Oleksandrivka,UA,47.3197,33.3037,46.4,54,30,7.87,scattered clouds
340,Burevestnik,RU,56.144,43.7883,40.75,81,0,8.95,clear sky
341,Nauta,PE,-4.5061,-73.5757,87.67,62,49,1.92,scattered clouds
342,Alcamo,IT,37.9983,12.9565,68.2,78,100,2.64,overcast clouds
